"token"	"begin"	"end"	"clauseAdverbDegree"	"clauseAdverbPred"	"clauseHasTmod"	"clauseNumMod"	"depRel0"	"depRel1"	"depRel2"	"depRel3"	"depRel4"	"predicate_lemma"	"predicate_pos"	"predicate_sense0"	"predicate_sense1"	"predicate_sense2"	"predicate_sense3"	"predicate_senseTop"	"predicate_wnGranularity"	"predicate_wnLexicalFilename"	"verb_coarseTense"	"verb_lemma"	"verb_perfect"	"verb_pos"	"verb_progressive"	"verb_tense"	"verb_voice"
"returned"	"1451"	"1459"	"none"	"vanish"	"false"	"1"						"return"	"VBD"	"02004874-V"				"01835496-V"	"1"	"verb.motion"	"past"	"return"	"false"	"VBD"	"false"	"sim_past"	"active"
"be"	"1578"	"1580"	"none"	"none"	"false"	"0"						"be"	"VB"					"02604760-V"	"0"	"verb.stative"	"future"	"be"	"false"	"VB"	"false"	"fut"	"active"
"changed"	"1602"	"1609"	"none"	"none"	"false"	"0"	"ccomp"					"change"	"VBN"					"00126264-V"	"0"	"verb.change"	"present"	"change"	"true"	"VBN"	"false"	"pres_perf"	"active"
"called"	"1640"	"1646"	"positive"	"longer"	"false"	"1"						"call"	"VBN"	"01028748-V"	"01029852-V"			"01030132-V"	"2"	"verb.communication"	"present"	"call"	"true"	"VBN"	"false"	"pres_perf"	"active"
"vanished"	"1676"	"1684"	"none"	"none"	"false"	"0"	"ccomp"					"vanish"	"VBN"					"00426958-V"	"0"	"verb.change"	"present"	"vanish"	"true"	"VBN"	"false"	"pres_perf"	"active"
"replaced"	"1731"	"1739"	"none"	"none"	"false"	"0"	"conj_and"					"replace"	"VBN"	"00162688-V"	"01631072-V"	"01619354-V"		"01617192-V"	"3"	"verb.change"	"present"	"replace"	"true"	"VBN"	"false"	"pres_perf"	"passive"
"influence"	"1932"	"1941"	"none"	"none"	"false"	"0"	"rcmod"	"conj_and"	"prep_to"	"xcomp"		"influence"	"VBP"	"02536557-V"	"00137313-V"			"00126264-V"	"2"	"verb.social"	"present"	"influence"	"false"	"VBP"	"false"	"pres"	"active"
"are"	"1976"	"1979"	"comparative"	"more"	"false"	"1"	"cop"					"subtle"	"JJ"					"01717901-A"	"0"	"adj.all"	"present"	"be"	"false"	"VBP"	"false"	"pres"	"active"
"are"	"2016"	"2019"	"positive"	"still"	"false"	"1"	"cop"					"evident"	"JJ"					"01618376-A"	"0"	"adj.all"	"present"	"be"	"false"	"VBP"	"false"	"pres"	"active"
"get"	"2068"	"2071"	"none"	"none"	"false"	"0"	"rcmod"	"prep_of"	"prep_in"			"get"	"VBP"					"02210855-V"	"0"	"verb.possession"	"present"	"get"	"false"	"VBP"	"false"	"pres"	"active"
